fold,feature_set,buffer_range,rmse_mean,rmse_ci,r2_mean,r2_ci
1,landuse_only,50-150,7.224920886574622,0.035816108869747613,0.614886358492933,0.0036326594018040643
2,landuse_only,50-150,7.1999002101979395,0.03390002202791334,0.6699414834869378,0.002951491768332039
3,landuse_only,50-150,6.814775413269109,0.03307178046103482,0.67740899169439,0.003114933469849777
4,landuse_only,50-150,6.818717263901961,0.035797088949258114,0.6248786512842447,0.003790917051769689
0,landuse_only,50-100,7.467630150097616,0.04189515577161937,0.44387944716684996,0.005171717598821074
1,landuse_only,50-100,7.786207699120618,0.04050480331625886,0.5526920577296317,0.004292097469327484
2,landuse_only,50-100,7.973195598834023,0.040213022634197244,0.5952595755210258,0.003852374747154246
3,landuse_only,50-100,7.383131269416364,0.03769977464728728,0.6213417432991384,0.0037711161939890264
4,landuse_only,50-100,7.436247092618565,0.04279280305650212,0.5538170725331836,0.004753311184602399
0,landuse_only,1000,8.150796900023842,0.046006928431345566,0.33735410537476224,0.005693339506612764
1,landuse_only,1000,8.823259361908038,0.04420308175109176,0.4255870407388992,0.004860334455215862
2,landuse_only,1000,9.407105007333891,0.04483917160623473,0.4365514583606895,0.004716402739436456
3,landuse_only,1000,8.600250820907554,0.042734498605226066,0.4862230962906144,0.004597546386134151
4,landuse_only,1000,8.525454783246454,0.04551317469846965,0.4135857972235225,0.00534500417323133
0,landuse_only,500,8.152735041968763,0.04527505967039726,0.33707252122069203,0.005589201829912497
1,landuse_only,500,8.812991279816671,0.04448975153249521,0.4269913436670221,0.004887558386075811
2,landuse_only,500,9.38988853129549,0.04527623231902743,0.43865030506562497,0.004679999652729776
3,landuse_only,500,8.586634789607738,0.042263813642013044,0.4878428128911394,0.0045806183374178895
4,landuse_only,500,8.513204607033854,0.045323025109894756,0.4152891676994385,0.005320312630961858
0,landuse_only,250,8.174205049259669,0.04610008690237128,0.333625570499715,0.00565651963510443
1,landuse_only,250,8.858716524692493,0.04418543399866791,0.42104670107527165,0.004818556603231058
2,landuse_only,250,9.41499983786812,0.045115139812341026,0.4356611377311203,0.004694271637192024
3,landuse_only,250,8.60582113744593,0.042359408681303196,0.4855578540022615,0.00457012791629291
4,landuse_only,250,8.539734011915089,0.04574268628249474,0.4116035754826233,0.005338872994721088
0,landuse_only,200,8.125924360320523,0.0453137636665667,0.34151170214306387,0.005600042739585813
1,landuse_only,200,8.782754092321582,0.04489104336664604,0.43088381456594427,0.0049316394732569135
2,landuse_only,200,9.369127494111702,0.04515357735083648,0.4411304001824729,0.004695098852750332
3,landuse_only,200,8.566749193065448,0.04306008592748584,0.4902229082399136,0.00465698443672419
4,landuse_only,200,8.511045160052127,0.04494525958035886,0.4155908908078962,0.005325257192534533
0,landuse_only,150,8.122965543186144,0.044680170167507124,0.34197196615886255,0.005600124393425103
1,landuse_only,150,8.764293839213018,0.04417220143902964,0.4332516218805019,0.004912422834482638
2,landuse_only,150,9.292454193494336,0.04559443435826655,0.4502196858800293,0.004733665660041953
3,landuse_only,150,8.507911213329589,0.04230569957145073,0.49719199957853655,0.0045468401646018555
4,landuse_only,150,8.469552796218897,0.04527530420070718,0.4212656287922093,0.005322948788555191
0,landuse_only,100,8.126063881419693,0.04510980810560818,0.34140611796141773,0.005618279658659757
1,landuse_only,100,8.794190893716811,0.04417824412291254,0.42939923135942415,0.004897227604072709
2,landuse_only,100,9.370770384081554,0.04515444028389626,0.44094987504929095,0.004717796529111846
3,landuse_only,100,8.543714632402729,0.04231040353333443,0.4929237387616985,0.00458680684188189
4,landuse_only,100,8.505660455777893,0.045703696696927046,0.4163188989419591,0.0053605681650382405
0,landuse_only,50,8.123725460335972,0.04569320711832742,0.34181902493835964,0.005708982126033228
1,landuse_only,50,8.790747641980607,0.04419492977404032,0.42985987776070805,0.004902398413225751
2,landuse_only,50,9.375638823538296,0.04497308719725988,0.4403651261122105,0.004710822865469565
3,landuse_only,50,8.55985707333661,0.042491354205410316,0.49105500652911177,0.004596399348895652
4,landuse_only,50,8.515410649339588,0.04564765164984146,0.41492893221856164,0.005408971947614855
0,baseline,baseline,7.1519138191939,0.039895065084907866,0.31591889770864634,0.0077243819231747925
1,baseline,baseline,7.446723630454799,0.04062300379435551,0.3936840604945155,0.0061468407402212105
2,baseline,baseline,7.27391167701363,0.03683122453786857,0.6190439862776829,0.003801736182423732
3,baseline,baseline,6.7618558991914,0.03435407317943313,0.6584380979817838,0.0035845981970131
4,baseline,baseline,6.644596863070132,0.03804847677309486,0.6125832824284221,0.004547212381633445
